credit_id,talent_id,fictional_client_id,production_title,production_type,role,start_date,end_date,city,country,contract_status,number_of_performances,contract_value_usd,rehearsal_attendance_rate,director_rating,technical_readiness_score,safety_compliance_score,incident_recorded,incident_severity,rehire_eligible,early_termination_party,early_termination_reason,skills_used,director_feedback
CRD-00331,TAL-0472,CLI-0127,Future-proofed hybrid artificial intelligence Ceremony,Integrated Resort Show,Audio Engineer,2024-11-06,2025-02-03,Jeddah,Saudi Arabia,Completed with Notes,5,69924.64,0.9876,4.41,92.0,92.5,False,None,True,,,Wireless Coordination|Playback Systems|Repair Operations|Redundancy Planning,Adapted quickly to creative notes and technical changes.
CRD-00332,TAL-0195,CLI-0174,Multi-layered impactful knowledgebase Show,Resident Aquatic Show,Water Stage Technician,2025-12-25,2026-01-16,Delhi,India,Early Termination,5,25209.73,0.9811,2.59,100.0,100.0,False,None,False,Mutual,Medical restriction,Rescue Procedures|Diving Support|Show Control|Cue Programming|Aquatic Stage Systems|Wet-to-Dry Transitions,High-quality contribution with positive ensemble behaviour.
CRD-00333,TAL-0194,CLI-0178,Re-contextualized dynamic standardization Show,Urban Mega-Celebration,Tightrope Walker,2024-09-05,2025-01-28,Macau,Macau,Completed,1,127997.49,0.9832,3.58,73.7,100.0,False,None,False,,,Wind Assessment|Tightrope,Adapted quickly to creative notes and technical changes.
CRD-00334,TAL-0250,CLI-0121,Face-to-face exuding software Spectacle,Urban Mega-Celebration,Tightrope Walker,2023-05-27,2023-09-05,Jeddah,Saudi Arabia,Cancelled,2,64382.42,0.9656,2.67,87.0,100.0,False,None,False,Talent,Funding change,Night Rehearsals|Ballet,Strong rehearsal discipline and dependable show execution.
CRD-00335,TAL-0258,CLI-0171,Configurable solution-oriented projection Experience,Urban Mega-Celebration,Rigger,2024-09-27,2024-10-17,Mumbai,India,Completed,9,15913.85,0.97,4.58,94.5,90.8,False,None,True,,,Water Stage Rigging|Load Calculations,Technically capable but required additional rehearsal support.
CRD-00336,TAL-0428,CLI-0156,Virtual 5thgeneration array Parade,Integrated Resort Show,Costume Technician,2023-06-10,2023-08-04,Macau,Macau,Completed,1,33089.5,0.9571,4.52,91.1,97.1,False,None,True,,,Laundry Operations|Fittings|Show Running,Reliable under pressure and recommended for future productions.
CRD-00337,TAL-0321,CLI-0122,Open-architected homogeneous implementation Spectacle,Resident Aquatic Show,High Diver,2023-02-17,2023-06-15,London,United Kingdom,Early Termination,1,92955.23,0.9774,3.82,96.3,100.0,False,None,False,Mutual,Performance readiness gap,Aquatic Rescue|High Diving,Adapted quickly to creative notes and technical changes.
CRD-00338,TAL-0242,CLI-0150,Reactive methodical approach Experience,Immersive Theatre,Sound Designer,2023-12-22,2024-02-16,Riyadh,Saudi Arabia,Early Termination,5,51261.8,0.9667,2.79,82.5,100.0,False,None,False,Talent,Conduct issue,System Design|Cue Integration,Adapted quickly to creative notes and technical changes.
CRD-00339,TAL-0475,CLI-0126,Sharable 24/7 standardization Spectacle,Integrated Resort Show,Acrobatic Performer,2024-09-20,2024-11-27,Las Vegas,United States,Completed,19,57510.38,1.0,4.56,96.2,87.9,True,Minor,False,,,Safety Spotting|Tumbling|Aerial Straps|Teeterboard|Hand Balancing,Performance met expectations with minor consistency notes.
CRD-00340,TAL-0221,CLI-0084,Down-sized attitude-oriented methodology Show,Large-Scale Parade,Acrobatic Performer,2021-11-27,2022-06-04,New York,United States,Completed,3,52723.7,1.0,4.92,94.5,96.9,False,None,False,,,Chinese Pole|Safety Spotting|Teeterboard,Technically capable but required additional rehearsal support.
CRD-00341,TAL-0472,CLI-0109,Optional secondary toolset Show,Festival Headline Production,Audio Engineer,2023-03-18,2023-08-04,Montreal,Canada,Completed,12,105671.89,0.9691,4.43,91.7,97.5,False,None,True,,,Playback Systems|Repair Operations,Performance met expectations with minor consistency notes.
CRD-00342,TAL-0161,CLI-0160,Managed non-volatile attitude Parade,Resident Aquatic Show,Aerial Artist,2026-03-01,2026-06-12,Tokyo,Japan,Completed,22,53116.65,0.9253,4.39,80.1,96.9,False,None,False,,,Flying Harness|Aerial Silks|Rigging Awareness|Aerial Conditioning|Bungee Choreography|Aerial Hoop,High-quality contribution with positive ensemble behaviour.
CRD-00343,TAL-0444,CLI-0109,Progressive 6thgeneration emulation Parade,Experiential Dining Show,Costume Designer,2024-06-04,2024-09-01,Toronto,Canada,Completed with Notes,7,50483.66,0.9699,3.98,60.7,94.7,False,None,False,,,Large Ensemble Choreography|Aerial Choreography|Rehearsal Planning,Reliable under pressure and recommended for future productions.
CRD-00344,TAL-0376,CLI-0158,Extended system-worthy open system Ceremony,Opening Ceremony,Lighting Designer,2022-04-30,2022-07-27,Berlin,Germany,Completed,16,106994.9,0.9665,4.03,100.0,97.8,False,None,False,,,Lighting Design|Architectural Lighting|Laser Integration|Previsualization|Projection Design|Creative Content Integration,Reliable under pressure and recommended for future productions.
CRD-00345,TAL-0156,CLI-0087,Phased encompassing analyzer Show,Outdoor Multimedia Spectacle,Dancer,2023-03-04,2023-06-16,Montreal,Canada,Completed,20,44661.33,0.9683,5.0,77.0,100.0,False,None,True,,,Ballet|Water Entry Technique|High Diving|Wet-to-Dry Transitions|Night Rehearsals|Commercial Dance,High-quality contribution with positive ensemble behaviour.
CRD-00346,TAL-0402,CLI-0085,Compatible systemic focus group Show,Large-Scale Parade,Trampoline Artist,2022-11-08,2023-05-05,Melbourne,Australia,Completed,4,145457.48,0.9978,5.0,83.6,100.0,False,None,True,,,Air Awareness|Harness Familiarity|Diving|Trampoline,Technically capable but required additional rehearsal support.
CRD-00347,TAL-0133,CLI-0046,Quality-focused non-volatile protocol Parade,Touring Arena Production,Production Manager,2023-07-23,2023-12-31,Orlando,United States,Completed,127,262268.27,0.9041,4.78,84.2,100.0,False,None,False,,,Technical Rehearsals|Emergency Procedures|Production Management|Client Reporting,Performance met expectations with minor consistency notes.
CRD-00348,TAL-0040,CLI-0109,Automated context-sensitive functionalities Experience,Resident Aquatic Show,High Diver,2024-09-04,2024-09-29,Cape Town,South Africa,Completed,26,23252.56,0.9171,4.24,92.4,100.0,False,None,False,,,Breath Control|High Diving|Platform Diving,Performance met expectations with minor consistency notes.
CRD-00349,TAL-0001,CLI-0088,Ameliorated demand-driven parallelism Show,Immersive Theatre,Character Performer,2023-09-22,2023-12-10,Manila,Philippines,Completed,9,48367.56,0.96,4.25,86.8,97.3,False,None,True,,,BMX Flatland|Risk Assessment,Technically capable but required additional rehearsal support.
CRD-00350,TAL-0285,CLI-0082,Digitized web-enabled structure Spectacle,Large-Scale Parade,Puppeteer,2024-02-06,2024-03-12,Toronto,Canada,Completed,15,21328.23,1.0,4.06,98.7,98.3,False,None,False,,,Prop Handling|Ensemble Puppetry,Performance met expectations with minor consistency notes.
CRD-00351,TAL-0066,CLI-0047,Object-based asynchronous framework Experience,Themed Entertainment Spectacle,Acrobatic Performer,2023-12-01,2024-01-15,Sydney,Australia,Completed,6,34836.82,0.9516,4.31,83.0,97.7,False,None,True,,,Wet Stage Movement|Safety Spotting|Hand Balancing|Ensemble Timing,Adapted quickly to creative notes and technical changes.
CRD-00352,TAL-0031,CLI-0097,Diverse non-volatile encoding Parade,Integrated Resort Show,Dancer,2022-05-23,2022-07-11,Montreal,Canada,Completed,3,38615.83,0.9342,4.85,95.6,91.3,False,None,True,,,Commercial Dance|Jazz Dance|Character Movement|Contemporary Dance|Bollywood Dance,High-quality contribution with positive ensemble behaviour.
CRD-00353,TAL-0380,CLI-0100,Re-contextualized human-resource service-desk Show,Resident Aquatic Show,Motorcycle Stunt Rider,2025-03-01,2025-04-07,Seoul,South Korea,Completed,55,30858.09,0.894,4.7,83.8,98.5,False,None,False,,,Emergency Stops|Harness Familiarity|Risk Assessment,Adapted quickly to creative notes and technical changes.
CRD-00354,TAL-0238,CLI-0179,Quality-focused full-range info-mediaries Show,Integrated Resort Show,Lighting Programmer,2022-01-06,2022-04-14,Johannesburg,South Africa,Completed with Notes,7,26253.46,0.9411,3.75,98.2,96.0,False,None,False,,,Cueing|Troubleshooting|Inspection Documentation|GrandMA Programming,Performance met expectations with minor consistency notes.
CRD-00355,TAL-0105,CLI-0105,Versatile user-facing challenge Show,Immersive Theatre,Associate Director,2025-11-05,2026-01-03,London,United Kingdom,Completed,21,34898.81,0.8988,4.26,88.9,91.0,False,None,False,,,Technical Drafting|Material Specification|Cast Notes,High-quality contribution with positive ensemble behaviour.
CRD-00356,TAL-0310,CLI-0026,Team-oriented uniform artificial intelligence Ceremony,Large-Scale Parade,Trampoline Artist,2022-06-02,2022-08-07,Tokyo,Japan,Completed,16,17069.67,0.8849,4.27,76.1,100.0,False,None,False,,,Tumbling|Large-Scale Puppetry|Ensemble Puppetry|Harness Familiarity|Air Awareness,Performance met expectations with minor consistency notes.
CRD-00357,TAL-0206,CLI-0089,Profit-focused value-added hardware Experience,Opening Ceremony,Drone Show Technician,2025-11-03,2025-11-16,Tokyo,Japan,Early Termination,4,16547.52,0.9911,3.57,98.4,93.9,False,None,False,Production,Schedule conflict,Aerial Rigging|Temporary Structures|High-Wire Rigging|Drone Show Operations|Entertainment Rigging|GNSS Systems,Adapted quickly to creative notes and technical changes.
CRD-00358,TAL-0369,CLI-0178,Business-focused bandwidth-monitored Internet solution Ceremony,Themed Entertainment Spectacle,Automation Technician,2022-10-19,2023-03-25,New York,United States,Completed with Notes,15,79031.5,0.9917,4.6,100.0,100.0,False,None,False,,,Motion Control|Hydraulic Integration|PLC Systems|Preventive Maintenance,Strong rehearsal discipline and dependable show execution.
CRD-00359,TAL-0397,CLI-0103,Focused asynchronous Graphical User Interface Experience,Outdoor Multimedia Spectacle,Broadcast Technician,2026-05-12,2026-06-09,Cape Town,South Africa,Completed,17,25547.08,0.9814,4.29,85.0,98.0,False,None,True,,,Signal Routing|Replay Systems,Reliable under pressure and recommended for future productions.
CRD-00360,TAL-0459,CLI-0060,Robust zero administration pricing structure Show,Themed Entertainment Spectacle,Aerial Artist,2023-03-19,2023-06-20,Riyadh,Saudi Arabia,Completed,12,68826.95,0.9443,5.0,90.5,97.5,False,None,False,,,Large-Scale Puppetry|Prop Handling|Backstage Coordination|Creature Movement,Technically capable but required additional rehearsal support.
CRD-00361,TAL-0181,CLI-0051,Right-sized hybrid time-frame Show,Themed Entertainment Spectacle,Projection Designer,2024-02-12,2024-02-21,Barcelona,Spain,Completed,6,5740.26,0.9188,4.51,92.5,91.9,False,None,False,,,Projection Design|Creative Content Integration|Media Servers|Timecode|Previsualization,Performance met expectations with minor consistency notes.
CRD-00362,TAL-0454,CLI-0024,Inverse 4thgeneration productivity Spectacle,Touring Arena Production,Production Coordinator,2026-05-29,2026-06-11,Tokyo,Japan,Completed with Notes,21,7098.48,1.0,3.49,76.8,96.0,False,None,False,,,Vendor Coordination|Visa Coordination,Performance met expectations with minor consistency notes.
CRD-00363,TAL-0472,CLI-0145,Future-proofed zero tolerance knowledge user Ceremony,Festival Headline Production,Audio Engineer,2023-11-04,2024-03-07,London,United Kingdom,Completed,11,88159.75,0.9553,4.49,100.0,100.0,False,None,True,,,Prop Fabrication|Repair Operations|Redundancy Planning|System Tuning,Performance met expectations with minor consistency notes.
CRD-00364,TAL-0039,CLI-0063,Pre-emptive discrete help-desk Show,Resident Aquatic Show,Motorcycle Stunt Rider,2024-02-25,2024-05-20,Sydney,Australia,Completed,63,122414.38,0.9905,4.49,92.7,100.0,False,None,True,,,Motorcycle Stunts|Protective Equipment|Emergency Stops|Show Cueing|Precision Riding|Risk Assessment,Performance met expectations with minor consistency notes.
CRD-00365,TAL-0064,CLI-0021,Reactive homogeneous Internet solution Ceremony,Outdoor Multimedia Spectacle,Aerial Artist,2026-05-12,2026-05-29,Montreal,Canada,Completed,21,8223.71,0.9005,4.07,89.0,100.0,False,None,False,,,Emergency Stops|Flying Harness|Cue Precision|Aerial Conditioning|Height Safety,Reliable under pressure and recommended for future productions.
CRD-00366,TAL-0258,CLI-0167,Enterprise-wide systemic paradigm Parade,Urban Mega-Celebration,Rigger,2023-01-04,2023-02-08,Las Vegas,United States,Completed,21,21599.95,0.9198,4.08,82.4,100.0,False,None,False,,,Pyrotechnics|Aerial Rigging|High-Wire Rigging|Water Stage Rigging|Load Calculations,Technically capable but required additional rehearsal support.
CRD-00367,TAL-0006,CLI-0153,Switchable homogeneous artificial intelligence Ceremony,Urban Mega-Celebration,Safety Manager,2024-10-08,2025-02-19,Bangkok,Thailand,Completed,16,116538.4,0.9886,4.04,88.4,95.5,False,None,False,,,Budget Control|Regulatory Compliance|Emergency Planning|Incident Investigation|Risk Assessment|Entertainment Safety,Reliable under pressure and recommended for future productions.
CRD-00368,TAL-0047,CLI-0044,Visionary regional frame Spectacle,Outdoor Multimedia Spectacle,Pyrotechnics Technician,2023-11-19,2024-02-14,Manila,Philippines,Completed,4,63930.9,0.9603,4.79,81.5,94.0,False,None,True,,,Fittings|Quick Changes|Laundry Operations|Repairs,High-quality contribution with positive ensemble behaviour.
CRD-00369,TAL-0211,CLI-0060,Fully-configurable transitional archive Parade,Festival Headline Production,Production Coordinator,2025-10-08,2026-01-31,Delhi,India,Completed,12,68252.81,0.8847,4.1,83.6,100.0,False,None,False,,,Budget Tracking|Accommodation Planning|Visa Coordination|Production Scheduling,Adapted quickly to creative notes and technical changes.
CRD-00370,TAL-0198,CLI-0048,Configurable encompassing collaboration Spectacle,Large-Scale Parade,BMX Rider,2025-01-15,2025-07-13,London,United Kingdom,Completed with Notes,13,57507.49,0.9174,3.64,64.8,99.9,False,None,False,,,Protective Equipment|BMX Ramp|Choreographed Riding|Risk Assessment|Parade Performance|Precision Riding,High-quality contribution with positive ensemble behaviour.
CRD-00371,TAL-0253,CLI-0154,Multi-tiered transitional toolset Parade,Cultural Landmark Ceremony,Composer,2023-09-05,2023-09-26,Toronto,Canada,Completed,11,15592.73,0.9973,4.0,85.7,100.0,False,None,False,,,Original Composition|Music Editing|Timecode|Recording Supervision,Strong rehearsal discipline and dependable show execution.
CRD-00372,TAL-0163,CLI-0158,Sharable coherent support Experience,Touring Arena Production,Production Manager,2025-01-14,2025-04-16,Toronto,Canada,Completed,7,109712.16,0.9657,4.0,86.9,89.6,False,None,False,,,Supplier Management|Client Reporting|Master Scheduling,Adapted quickly to creative notes and technical changes.
CRD-00373,TAL-0117,CLI-0063,Networked foreground hierarchy Show,Large-Scale Parade,Trampoline Artist,2021-12-04,2022-04-07,Johannesburg,South Africa,Completed,14,62405.84,0.8309,4.06,95.8,85.3,True,Minor,False,,,Wall Runs|Urban Choreography,Adapted quickly to creative notes and technical changes.
CRD-00374,TAL-0107,CLI-0105,Customer-focused background ability Spectacle,Cultural Landmark Ceremony,Lighting Designer,2024-11-22,2024-12-12,Sydney,Australia,Completed,15,30328.04,0.955,4.52,80.5,93.6,False,None,True,,,Previsualization|Timecode,Adapted quickly to creative notes and technical changes.
CRD-00375,TAL-0453,CLI-0166,Integrated leadingedge hierarchy Parade,Urban Mega-Celebration,Tightrope Walker,2026-01-15,2026-02-06,Buenos Aires,Argentina,Completed,5,16153.94,1.0,4.69,96.8,95.8,False,None,True,,,Tightrope|High Wire|Ensemble Timing|Balance Performance|Height Rescue Familiarity|Tumbling,Performance met expectations with minor consistency notes.
CRD-00376,TAL-0246,CLI-0118,Virtual encompassing benchmark Spectacle,Cultural Landmark Ceremony,Composer,2023-05-08,2023-10-11,Montreal,Canada,Completed,6,117010.26,0.9254,5.0,97.9,100.0,False,None,False,,,Timecode|Opening Readiness,Reliable under pressure and recommended for future productions.
CRD-00377,TAL-0331,CLI-0106,De-engineered background contingency Ceremony,Resident Aquatic Show,Aquatic Performer,2022-09-05,2022-12-16,Montreal,Canada,Completed,84,39006.76,0.9039,4.5,86.6,98.8,False,None,False,,,Underwater Performance|Diving|Wet Stage Movement|Synchronized Swimming,High-quality contribution with positive ensemble behaviour.
CRD-00378,TAL-0405,CLI-0088,Optional local open architecture Experience,Touring Arena Production,Vocalist,2025-08-09,2026-01-05,Hong Kong,Hong Kong,Completed,128,62713.35,0.9543,5.0,82.8,97.1,False,None,True,,,Vocal Endurance|Multilingual Repertoire|Ensemble Performance,High-quality contribution with positive ensemble behaviour.
CRD-00379,TAL-0067,CLI-0074,Realigned multimedia installation Parade,Outdoor Multimedia Spectacle,Bungee Performer,2026-02-07,2026-02-23,Macau,Macau,Completed,12,13320.09,0.985,4.34,81.8,92.1,False,None,True,,,Aquatic Rescue|Safety Briefings|Height Safety|Water Entry Technique|Wet-to-Dry Transitions,Adapted quickly to creative notes and technical changes.
CRD-00380,TAL-0197,CLI-0012,Customer-focused 4thgeneration array Ceremony,Urban Mega-Celebration,Production Manager,2022-10-12,2023-04-07,Jeddah,Saudi Arabia,Completed,14,200937.06,0.9283,4.1,76.4,96.3,False,None,False,,,Production Management|Master Scheduling|Opening Readiness,Reliable under pressure and recommended for future productions.
CRD-00381,TAL-0016,CLI-0062,Multi-channeled neutral array Show,Themed Entertainment Spectacle,Scenic Designer,2023-05-25,2023-08-27,Sydney,Australia,Completed,20,53863.23,0.9314,4.38,84.4,100.0,False,None,False,,,Fabrication Oversight|Scenic Design|Mobile Stage Design,Reliable under pressure and recommended for future productions.
CRD-00382,TAL-0434,CLI-0020,Right-sized radical toolset Parade,Urban Mega-Celebration,Audio Engineer,2022-05-22,2022-11-26,Amsterdam,Netherlands,Completed,4,155943.34,0.9607,3.97,79.6,97.8,False,None,False,,,Wireless Coordination|Show Recording,High-quality contribution with positive ensemble behaviour.
CRD-00383,TAL-0135,CLI-0010,Inverse human-resource access Spectacle,Resident Aquatic Show,Aquatic Performer,2024-09-19,2024-11-06,Sydney,Australia,Completed,123,11929.39,0.9616,3.46,79.6,100.0,False,None,False,,,Wet Stage Movement|Aquatic Rescue|Synchronized Swimming,Performance met expectations with minor consistency notes.
CRD-00384,TAL-0301,CLI-0043,Implemented incremental info-mediaries Parade,Integrated Resort Show,Bungee Performer,2024-08-06,2024-12-31,Amsterdam,Netherlands,Completed,10,66526.61,0.9428,4.02,81.9,100.0,False,None,False,,,Parade Performance|Dynamic Drops|Protective Equipment|Bungee Choreography,Strong rehearsal discipline and dependable show execution.
CRD-00385,TAL-0135,CLI-0145,Vision-oriented attitude-oriented success Spectacle,Resident Aquatic Show,Aquatic Performer,2025-04-24,2025-08-23,Toronto,Canada,Completed,81,29482.56,0.9519,3.23,85.1,96.0,False,None,False,,,Aquatic Rescue|Synchronized Swimming|Diving|Wet Stage Movement|Water Choreography,Technically capable but required additional rehearsal support.
CRD-00386,TAL-0074,CLI-0178,Realigned dynamic orchestration Spectacle,Themed Entertainment Spectacle,Puppeteer,2023-12-24,2024-03-11,Delhi,India,Completed,8,42985.83,1.0,4.27,98.2,94.5,False,None,False,,,Rod Puppetry|Large-Scale Puppetry|Creature Movement|Character Interpretation|Ensemble Puppetry|Backstage Coordination,Adapted quickly to creative notes and technical changes.
CRD-00387,TAL-0095,CLI-0024,Programmable composite software Parade,Resident Aquatic Show,Automation Technician,2022-03-14,2022-08-28,Tokyo,Japan,Completed,26,78732.3,1.0,4.4,91.9,100.0,False,None,False,,,Cue Programming|Cueing,Adapted quickly to creative notes and technical changes.
CRD-00388,TAL-0183,CLI-0022,Multi-tiered composite challenge Ceremony,Large-Scale Parade,Parkour Artist,2024-07-12,2024-08-23,Abu Dhabi,UAE,Completed,6,31775.73,0.9465,5.0,83.5,95.7,False,None,True,,,Precision Jumps|Safety Spotting|Freerunning,Performance met expectations with minor consistency notes.
CRD-00389,TAL-0079,CLI-0139,Future-proofed exuding flexibility Spectacle,Experiential Dining Show,Stage Manager,2022-07-01,2022-10-09,Bangkok,Thailand,Completed,1,39330.01,0.9794,4.34,89.1,96.2,False,None,False,,,Cast Coordination|Run of Show|Show Calling|Emergency Procedures|Cue Management|Incident Reporting,Strong rehearsal discipline and dependable show execution.
CRD-00390,TAL-0040,CLI-0016,Proactive client-server architecture Parade,Resident Aquatic Show,High Diver,2022-09-09,2023-03-14,Johannesburg,South Africa,Completed,50,141077.08,0.9262,4.44,96.7,100.0,False,None,False,,,Wet-to-Dry Transitions|High Diving,High-quality contribution with positive ensemble behaviour.
CRD-00391,TAL-0053,CLI-0167,Down-sized intermediate focus group Spectacle,Immersive Theatre,Sound Designer,2022-06-30,2022-11-21,Hong Kong,Hong Kong,Completed,20,220629.13,0.9543,4.55,79.2,98.9,False,None,False,,,Sound Design|Timecode|Playback Systems,Strong rehearsal discipline and dependable show execution.
CRD-00392,TAL-0043,CLI-0026,Operative exuding matrices Ceremony,Touring Arena Production,Lighting Programmer,2024-02-18,2024-03-01,Mumbai,India,Completed with Notes,147,6639.24,0.9833,4.19,87.9,97.9,False,None,True,,,Troubleshooting|Fixture Management|Timecode Programming|Cueing,Performance met expectations with minor consistency notes.
CRD-00393,TAL-0166,CLI-0176,Compatible high-level extranet Spectacle,Outdoor Multimedia Spectacle,Pyrotechnics Technician,2025-09-03,2025-09-13,Melbourne,Australia,Completed,13,12063.0,0.952,5.0,100.0,99.3,False,None,False,,,Firing Systems|Composite Materials,Adapted quickly to creative notes and technical changes.
CRD-00394,TAL-0441,CLI-0077,Fully-configurable uniform product Ceremony,Cultural Landmark Ceremony,Vocalist,2024-04-27,2024-05-28,Sydney,Australia,Completed with Notes,6,13075.63,0.9402,4.63,93.2,100.0,False,None,False,,,Live Vocals|Multilingual Repertoire|Ensemble Performance,Adapted quickly to creative notes and technical changes.
CRD-00395,TAL-0006,CLI-0036,Proactive radical pricing structure Spectacle,Large-Scale Parade,Safety Manager,2025-02-20,2025-06-01,Seoul,South Korea,Completed,21,109254.92,0.9265,3.87,78.9,100.0,False,None,False,,,Incident Investigation|Emergency Planning|Regulatory Compliance|Budget Control,High-quality contribution with positive ensemble behaviour.
CRD-00396,TAL-0062,CLI-0053,Exclusive logistical benchmark Show,Outdoor Multimedia Spectacle,Production Manager,2022-05-18,2022-09-23,Mumbai,India,Completed,10,93127.2,0.9748,4.07,79.8,87.0,False,None,False,,,Technical Rehearsals|Budget Control|Accommodation Planning|Contract Administration|Master Scheduling|Cue Management,Performance met expectations with minor consistency notes.
CRD-00397,TAL-0282,CLI-0128,Devolved exuding ability Spectacle,Resident Aquatic Show,High Diver,2022-06-07,2022-09-08,Berlin,Germany,Completed,145,58680.06,0.9511,4.23,100.0,98.8,False,None,True,,,Dive Choreography|Wet-to-Dry Transitions|Breath Control,Performance met expectations with minor consistency notes.
CRD-00398,TAL-0109,CLI-0139,Object-based full-range process improvement Show,Immersive Theatre,Scenic Designer,2021-12-11,2022-04-08,Macau,Macau,Completed,5,90610.73,0.9909,3.99,81.4,99.4,False,None,False,,,Large-Scale Scenography|Technical Drafting|Creative Visualization|Fabrication Oversight,High-quality contribution with positive ensemble behaviour.
CRD-00399,TAL-0245,CLI-0098,Multi-tiered full-range intranet Spectacle,Urban Mega-Celebration,Vocalist,2021-11-12,2022-03-26,Delhi,India,Completed,12,74958.98,0.9473,4.62,100.0,93.5,False,None,True,,,Ensemble Performance|Character Vocals,Adapted quickly to creative notes and technical changes.
CRD-00400,TAL-0071,CLI-0123,Managed intermediate projection Ceremony,Large-Scale Parade,Parkour Artist,2022-07-28,2022-11-26,Johannesburg,South Africa,Completed with Notes,11,50965.76,1.0,4.07,94.9,97.4,False,None,False,,,Freerunning|Urban Choreography,Technically capable but required additional rehearsal support.
CRD-00401,TAL-0003,CLI-0039,Right-sized client-driven framework Experience,Festival Headline Production,Strap Artist,2024-09-01,2024-11-08,Barcelona,Spain,Completed,9,17789.57,0.9161,4.24,81.4,92.9,False,None,False,,,Strength Acrobatics|Cue Precision|Tumbling|Rigging Awareness|Flying Systems,Technically capable but required additional rehearsal support.
CRD-00402,TAL-0418,CLI-0092,Inverse real-time solution Show,Large-Scale Parade,BMX Rider,2023-04-30,2023-09-07,Bangkok,Thailand,Completed,8,104560.06,0.9842,4.75,100.0,99.8,False,None,True,,,Parade Performance|Precision Riding|Jump Sequences|Protective Equipment|BMX Flatland|Choreographed Riding,Technically capable but required additional rehearsal support.
CRD-00403,TAL-0144,CLI-0087,Exclusive mission-critical functionalities Parade,Cultural Landmark Ceremony,Bungee Performer,2025-07-11,2025-10-30,Sydney,Australia,Completed,20,66091.42,0.985,3.81,88.8,93.9,False,None,False,,,Partnering|Emergency Procedures|Dynamic Drops|Harness Work|Bungee Choreography|Aerial Timing,Technically capable but required additional rehearsal support.
CRD-00404,TAL-0049,CLI-0178,Enhanced hybrid functionalities Ceremony,Experiential Dining Show,Sound Designer,2024-06-22,2024-10-20,Riyadh,Saudi Arabia,Completed,21,69440.45,0.9643,4.19,85.7,93.0,False,None,True,,,Spatial Audio|Waterproof Costumes|Show Control|System Design,Adapted quickly to creative notes and technical changes.
CRD-00405,TAL-0106,CLI-0076,Implemented user-facing solution Parade,Opening Ceremony,Aerial Artist,2024-03-18,2024-09-13,Riyadh,Saudi Arabia,Completed,8,106178.33,0.9354,5.0,100.0,98.8,False,None,True,,,Flying Systems|Jump Sequences|BMX Ramp|Choreographed Riding|Height Safety,Strong rehearsal discipline and dependable show execution.
CRD-00406,TAL-0336,CLI-0103,Sharable mobile orchestration Spectacle,Themed Entertainment Spectacle,Dancer,2025-12-11,2026-03-09,Amsterdam,Netherlands,Completed,16,69533.93,0.925,4.3,99.0,100.0,False,None,False,,,Ballet|Character Movement,Technically capable but required additional rehearsal support.
CRD-00407,TAL-0371,CLI-0132,Fully-configurable fresh-thinking implementation Experience,Cultural Landmark Ceremony,Composer,2024-11-20,2025-03-17,New York,United States,Completed,12,96056.4,0.9605,4.75,92.8,100.0,False,None,False,,,Cultural Music Research|Orchestration,Technically capable but required additional rehearsal support.
CRD-00408,TAL-0459,CLI-0011,Grass-roots zero tolerance infrastructure Experience,Large-Scale Parade,Puppeteer,2024-02-06,2024-07-03,Johannesburg,South Africa,Completed,10,116235.15,0.9485,4.7,90.6,99.8,False,None,True,,,Creature Movement|Backstage Coordination|Large-Scale Puppetry,Strong rehearsal discipline and dependable show execution.
CRD-00409,TAL-0264,CLI-0058,Multi-lateral bifurcated open system Parade,Themed Entertainment Spectacle,Puppeteer,2024-02-18,2024-08-13,Barcelona,Spain,Early Termination,0,87905.8,0.9941,3.27,78.9,100.0,False,None,False,Mutual,Conduct issue,Show Cueing|Air Awareness|Harness Familiarity|Wall Trampoline|Precision Riding,Strong rehearsal discipline and dependable show execution.
CRD-00410,TAL-0240,CLI-0122,Exclusive optimizing moratorium Parade,Integrated Resort Show,Audio Engineer,2023-06-20,2023-10-02,Bangkok,Thailand,Completed,13,40197.42,0.9122,4.7,99.0,100.0,False,None,False,,,Monitor Mixing|Digital Consoles|RF Planning,High-quality contribution with positive ensemble behaviour.
CRD-00411,TAL-0019,CLI-0022,Enterprise-wide systemic throughput Parade,Outdoor Multimedia Spectacle,Aerial Artist,2023-03-19,2023-07-09,Manila,Philippines,Completed,13,43538.89,0.9564,5.0,84.9,98.8,False,None,True,,,Cue Precision|Aerial Silks|Aerial Straps|Show Cueing|Bungee Choreography,Strong rehearsal discipline and dependable show execution.
CRD-00412,TAL-0399,CLI-0016,Reactive 4thgeneration superstructure Experience,Opening Ceremony,Projection Designer,2024-01-21,2024-04-17,Orlando,United States,Completed,10,109774.6,0.9507,3.65,92.5,97.3,False,None,False,,,Previsualization|Projection Design|Media Servers|Show Control|Timecode,Strong rehearsal discipline and dependable show execution.
CRD-00413,TAL-0195,CLI-0005,Persistent tertiary database Experience,Resident Aquatic Show,Automation Technician,2024-03-16,2024-08-06,Riyadh,Saudi Arabia,Completed,4,131261.98,1.0,4.07,99.7,98.1,False,None,False,,,Wet-to-Dry Transitions|Aquatic Stage Systems|Rescue Procedures|Cue Programming|Show Control,Performance met expectations with minor consistency notes.
